RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
500822030170001,Saint Clair,2030,O Fallon High School,O Fallon,539.2,537.3
510652000260000,Menard,2000,Greenview CUSD 200,Greenview,450.7,422.9
510652000260001,Menard,2000,Greenview Jr/Sr High School,Greenview,450.7,422.9
510652020260000,Menard,2020,Porta CUSD 202,Petersburg,493.4,461.2
510652020260001,Menard,2020,Porta High School,Petersburg,493.3,461.5
510652130260000,Menard,2130,Athens CUSD 213,Athens,522.3,509.1
510652130260001,Menard,2130,Athens Sr High School,Athens,522.3,509.1
510840010260000,Sangamon,10,Tri City CUSD 1,Buffalo,487.1,490.0
510840010260001,Sangamon,10,Tri-City High School,Buffalo,487.1,490.0
510840050260000,Sangamon,50,Ball Chatham CUSD 5,Chatham,533.7,529.7
510840050260001,Sangamon,50,Glenwood High School,Chatham,533.7,529.7
510840080260000,Sangamon,80,Pleasant Plains CUSD 8,Pleasant Plains,532.2,525.1
510840080260001,Sangamon,80,Pleasant Plains High School,Pleasant Plains,532.2,525.1
510840100260000,Sangamon,100,Auburn CUSD 10,Auburn,494.0,459.1
510840100260001,Sangamon,100,Auburn High School,Auburn,494.0,459.1
510840110260000,Sangamon,110,Pawnee CUSD 11,Pawnee,496.7,455.6
510840110260001,Sangamon,110,Pawnee Jr/Sr High Sch,Pawnee,496.7,455.6
510840140260000,Sangamon,140,Riverton CUSD 14,Riverton,502.2,497.6
510840140260001,Sangamon,140,Riverton High School,Riverton,502.2,497.6
510840150260000,Sangamon,150,Williamsville CUSD 15,Williamsville,551.8,542.6
510840150260001,Sangamon,150,Williamsville High School,Williamsville,551.8,542.6
510840160260000,Sangamon,160,New Berlin CUSD 16,New Berlin,508.8,486.6
510840160260001,Sangamon,160,New Berlin High School,New Berlin,511.9,489.7
510841860250000,Sangamon,1860,Springfield SD 186,Springfield,483.0,471.4
510841860250001,Sangamon,1860,Lanphier High School,Springfield,442.8,433.3
510841860250002,Sangamon,1860,Springfield High School,Springfield,527.3,517.8
510841860250003,Sangamon,1860,Springfield Southeast High Sch,Springfield,464.9,449.4
510841860250004,Sangamon,1860,Springfield Learning Academy,Springfield,406.9,388.3
530601260260000,Mason,1260,Havana CUSD 126,Havana,500.6,480.0
530601260260001,Mason,1260,Havana High School,Havana,500.6,480.0
530601890260000,Mason,1890,Illini Central CUSD 189,Mason City,464.3,443.9
530601890260001,Mason,1890,Illini Central High School,Mason City,464.3,443.9
530601910260000,Mason,1910,Midwest Central CUSD 191,Manito,495.0,463.0
530601910260001,Mason,1910,Midwest Central High School,Manito,495.9,463.8
530903030160000,Tazewell,3030,Pekin CSD 303,Pekin,487.4,494.2
530903030160002,Tazewell,3030,Pekin Community High School,Pekin,488.1,494.7
530903080160000,Tazewell,3080,Washington CHSD 308,Washington,527.8,527.8
